abbr,total_medicaid_spend,total_medicaid_fed_spend,nonfederal_share,ffy
AK,2738,2086,652,2024
AL,8150,5999,2150,2024
AR,8140,6243,1897,2024
AZ,20526,15602,4925,2024
CA,143780,87931,55849,2024
CO,13838,8245,5593,2024
CT,10625,6323,4302,2024
DC,4127,3042,1085,2024
DE,3273,2189,1084,2024
FL,35901,20965,14936,2024
GA,14870,9888,4982,2024
HI,3058,2104,954,2024
IA,8828,6212,2616,2024
ID,3891,2908,983,2024
IL,32852,20128,12725,2024
IN,19190,13585,5604,2024
KS,5499,3377,2122,2024
KY,18192,14271,3921,2024
LA,17718,13567,4151,2024
MA,25259,14096,11163,2024
MD,17686,10529,7156,2024
ME,4582,3088,1494,2024
MI,25873,18522,7352,2024
MN,18928,10946,7982,2024
MO,16085,11430,4655,2024
MS,8923,6947,1975,2024
MT,2385,1822,564,2024
NC,28455,20906,7548,2024
ND,1319,769,550,2024
NE,4244,2773,1470,2024
NH,2497,1405,1092,2024
NJ,23204,13935,9269,2024
NM,8207,6492,1715,2024
NV,6113,4439,1674,2024
NY,93959,54448,39511,2024
OH,34054,23939,10114,2024
OK,10203,7760,2443,2024
OR,16071,11392,4679,2024
PA,43524,26317,17207,2024
RI,3568,2200,1368,2024
SC,10096,7052,3044,2024
SD,1494,1033,461,2024
TN,13130,8626,4504,2024
TX,50616,30740,19876,2024
UT,5041,3656,1385,2024
VA,21968,14181,7787,2024
VT,2119,1310,809,2024
WA,21954,13938,8017,2024
WI,12356,7558,4798,2024
WV,4892,3807,1086,2024
WY,771,423,348,2024
