abbr,enrollment,expansion_adults,duals,enroll_year
AK,253706,71767,22033,2022
AL,1193936,0,232273,2022
AR,1049090,340252,148050,2022
AZ,2307443,705662,284593,2022
CA,14305237,4923593,1726789,2022
CO,1578355,699515,149399,2022
CT,1198418,362901,208192,2022
DC,282571,87626,40660,2022
DE,300711,92835,31173,2022
FL,5445631,0,977543,2022
GA,2460257,0,399302,2022
HI,434024,173253,55679,2022
IA,785601,252842,100254,2022
ID,423216,0,55482,2022
IL,3358376,2011379,439015,2022
IN,2003293,505117,255802,2022
KS,455392,0,77414,2022
KY,1174378,657395,215885,2022
LA,1815137,738652,271359,2022
MA,2072783,482319,384913,2022
MD,1567635,446099,177651,2022
ME,426352,104416,97573,2022
MI,2958233,1020513,370695,2022
MN,1355649,296655,152734,2022
MO,1384665,225253,213066,2022
MS,828964,0,168409,2022
MT,292173,116212,32917,2022
NC,2554120,0,351309,2022
ND,123319,34859,17326,2022
NE,339677,73251,44228,2022
NH,245508,91561,38347,2022
NJ,1924358,736595,243169,2022
NM,935057,299379,115876,2022
NV,869353,356526,90929,2022
NY,7316492,2715309,1156663,2022
OH,3172035,910409,383786,2022
OK,1151118,306449,133605,2022
OR,1262437,687470,173466,2022
PA,3401358,1102165,547080,2022
RI,348017,104474,56298,2022
SC,1427735,0,174787,2022
SD,132338,0,21783,2022
TN,1716769,0,288314,2022
TX,5955713,0,781229,2022
UT,480692,127669,42635,2022
VA,1890073,678254,242928,2022
VT,196589,74660,32850,2022
WA,2139334,816218,235509,2022
WI,1434059,0,239078,2022
WV,596395,237106,99968,2022
WY,80649,0,12541,2022
